event,table,Date,Time,home_team,away_team,home_score,away_score,home_seed,away_seed
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/24,8:30 AM,Carleton College (16),Rutgers (20),15,14,16,20
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/24,10:30 AM,North Carolina-Wilmington (5),Rutgers (20),15,11,5,20
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/24,12:30 PM,North Carolina-Wilmington (5),Florida (9),14,13,5,9
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/24,12:30 PM,Oregon (4),Carleton College (16),15,13,4,16
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,10:30 AM,Pittsburgh (1),Georgia (8),15,13,1,8
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,10:30 AM,Wisconsin (12),Texas (13),11,14,12,13
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,2:30 PM,Georgia (8),Texas (13),10,15,8,13
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,2:30 PM,Wisconsin (12),Auburn (17),15,9,12,17
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,4:30 PM,Pittsburgh (1),Auburn (17),15,4,1,17
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,8:30 AM,Pittsburgh (1),Wisconsin (12),15,12,1,12
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,8:30 AM,Georgia (8),Auburn (17),15,12,8,17
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,12:30 PM,Pittsburgh (1),Texas (13),12,13,1,13
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,12:30 PM,Georgia (8),Wisconsin (12),15,13,8,12
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,2:30 PM,Texas (13),Auburn (17),11,15,13,17
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,8:30 AM,Texas A&M (2),Cincinnati (18),14,12,2,18
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,8:30 AM,Central Florida (7),Western Washington (14),15,11,7,14
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,12:30 PM,Texas A&M (2),Central Florida (7),11,14,2,7
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,12:30 PM,Minnesota (11),Western Washington (14),14,11,11,14
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,4:30 PM,Minnesota (11),Cincinnati (18),15,12,11,18
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,10:30 AM,Texas A&M (2),Minnesota (11),13,15,2,11
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,10:30 AM,Central Florida (7),Cincinnati (18),15,11,7,18
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,12:30 PM,Western Washington (14),Cincinnati (18),14,13,14,18
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,2:30 PM,Central Florida (7),Minnesota (11),15,10,7,11
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,2:30 PM,Texas A&M (2),Western Washington (14),15,9,2,14
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,10:30 AM,Florida State (6),Oregon (15),15,12,6,15
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,10:30 AM,Maryland (10),Illinois (19),13,15,10,19
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,2:30 PM,North Carolina (3),Florida State (6),13,10,3,6
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,2:30 PM,Maryland (10),Oregon (15),15,11,10,15
