event,table,Date,Time,home_team,away_team,home_score,away_score,home_seed,away_seed
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,8:30 AM,British Columbia (16),Virginia Tech (20),15,12,16,20
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,10:30 AM,Oregon (5),Virginia Tech (20),15,6,5,20
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,12:30 PM,Minnesota (4),British Columbia (16),9,15,4,16
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,12:30 PM,Oregon (5),Wisconsin (9),14,16,5,9
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/25,10:30 AM,Carleton College (1),Massachusetts (8),15,6,1,8
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/25,10:30 AM,Stanford (12),Auburn (13),7,14,12,13
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/25,2:30 PM,Massachusetts (8),Auburn (13),15,8,8,13
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/25,2:30 PM,Stanford (12),Northwestern (17),10,15,12,17
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/25,4:30 PM,Carleton College (1),Northwestern (17),15,8,1,17
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/26,8:30 AM,Carleton College (1),Stanford (12),12,10,1,12
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/26,8:30 AM,Massachusetts (8),Northwestern (17),15,12,8,17
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/26,12:30 PM,Carleton College (1),Auburn (13),15,6,1,13
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/26,12:30 PM,Massachusetts (8),Stanford (12),15,7,8,12
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/26,2:30 PM,Auburn (13),Northwestern (17),10,12,13,17
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/25,8:30 AM,North Carolina (2),Connecticut (18),15,8,2,18
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/25,8:30 AM,Minnesota (7),William & Mary (14),15,8,7,14
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/25,12:30 PM,North Carolina (2),Minnesota (7),15,4,2,7
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/25,12:30 PM,Texas (11),William & Mary (14),13,9,11,14
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/25,4:30 PM,Texas (11),Connecticut (18),15,11,11,18
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/26,10:30 AM,North Carolina (2),Texas (11),15,8,2,11
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/26,10:30 AM,Minnesota (7),Connecticut (18),15,8,7,18
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/26,12:30 PM,William & Mary (14),Connecticut (18),13,14,14,18
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/26,2:30 PM,Minnesota (7),Texas (11),10,13,7,11
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/26,2:30 PM,North Carolina (2),William & Mary (14),11,13,2,14
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/25,10:30 AM,Georgia (6),Maryland (15),14,13,6,15
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/25,10:30 AM,Wisconsin (10),Georgetown (19),12,8,10,19
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/25,2:30 PM,Oregon (3),Georgia (6),15,7,3,6
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/25,2:30 PM,Wisconsin (10),Maryland (15),11,10,10,15
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/25,4:30 PM,Oregon (3),Georgetown (19),15,6,3,19
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/26,8:30 AM,Maryland (15),Georgetown (19),11,13,15,19
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/26,10:30 AM,Oregon (3),Wisconsin (10),15,8,3,10
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/26,10:30 AM,Georgia (6),Georgetown (19),13,12,6,19
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/26,2:30 PM,Oregon (3),Maryland (15),11,15,3,15
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/26,2:30 PM,Georgia (6),Wisconsin (10),10,15,6,10
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/25,8:30 AM,Washington (5),Victoria (16),15,11,5,16
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/25,8:30 AM,Pittsburgh (9),Florida State (20),15,9,9,20
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/25,12:30 PM,Brown (4),Florida State (20),15,6,4,20
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/25,12:30 PM,Pittsburgh (9),Victoria (16),14,8,9,16
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/25,4:30 PM,Brown (4),Washington (5),12,14,4,5
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/26,8:30 AM,Brown (4),Pittsburgh (9),14,12,4,9
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/26,8:30 AM,Victoria (16),Florida State (20),12,15,16,20
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/26,10:30 AM,Washington (5),Florida State (20),14,11,5,20
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/26,12:30 PM,Brown (4),Victoria (16),15,8,4,16
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/26,12:30 PM,Washington (5),Pittsburgh (9),11,15,5,9
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/24,10:00 AM,North Carolina (1),Ohio State (8),15,8,1,8
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/24,10:00 AM,Georgia (12),Minnesota (13),13,9,12,13
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/24,2:00 PM,Ohio State (8),Minnesota (13),8,10,8,13
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/24,2:00 PM,Georgia (12),California (17),10,8,12,17
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/24,4:00 PM,North Carolina (1),California (17),15,4,1,17
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/25,8:00 AM,North Carolina (1),Georgia (12),15,6,1,12
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/25,8:00 AM,Ohio State (8),California (17),14,8,8,17
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/25,12:00 PM,North Carolina (1),Minnesota (13),15,9,1,13
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/25,12:00 PM,Ohio State (8),Georgia (12),14,8,8,12
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/25,2:00 PM,Minnesota (13),California (17),12,8,13,17
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/24,8:00 AM,Brown (2),Iowa State (18),15,11,2,18
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/24,8:00 AM,North Carolina State (7),Michigan (14),14,15,7,14
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/24,12:00 PM,Brown (2),North Carolina State (7),15,8,2,7
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/24,12:00 PM,Texas (11),Michigan (14),15,7,11,14
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/24,4:00 PM,Texas (11),Iowa State (18),15,7,11,18
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/25,10:00 AM,Brown (2),Texas (11),11,7,2,11
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/25,10:00 AM,North Carolina State (7),Iowa State (18),15,13,7,18
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/25,12:00 PM,Michigan (14),Iowa State (18),15,14,14,18
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/25,2:00 PM,North Carolina State (7),Texas (11),13,14,7,11
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/25,2:00 PM,Brown (2),Michigan (14),15,7,2,14
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/24,10:00 AM,Oregon (6),Tufts (15),15,8,6,15
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/24,10:00 AM,Wisconsin (10),Victoria (19),15,6,10,19
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/24,2:00 PM,Pittsburgh (3),Oregon (6),14,12,3,6
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/24,2:00 PM,Wisconsin (10),Tufts (15),9,8,10,15
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/24,4:00 PM,Pittsburgh (3),Victoria (19),9,14,3,19
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/25,8:00 AM,Tufts (15),Victoria (19),10,13,15,19
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/25,10:00 AM,Pittsburgh (3),Wisconsin (10),15,13,3,10
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/25,10:00 AM,Oregon (6),Victoria (19),15,10,6,19
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/25,2:00 PM,Pittsburgh (3),Tufts (15),12,5,3,15
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/25,2:00 PM,Oregon (6),Wisconsin (10),12,9,6,10
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/24,8:00 AM,Colorado (5),Northeastern (16),15,11,5,16
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/24,8:00 AM,Washington (9),Rutgers (20),15,10,9,20
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/24,12:00 PM,Cal Poly-SLO (4),Rutgers (20),15,4,4,20
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/24,12:00 PM,Washington (9),Northeastern (16),14,11,9,16
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/24,4:00 PM,Cal Poly-SLO (4),Colorado (5),13,10,4,5
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/25,8:00 AM,Cal Poly-SLO (4),Washington (9),15,10,4,9
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/25,8:00 AM,Northeastern (16),Rutgers (20),15,7,16,20
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/25,10:00 AM,Colorado (5),Rutgers (20),14,8,5,20
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/25,12:00 PM,Cal Poly-SLO (4),Northeastern (16),8,14,4,16
D-I-College-Championships-2019/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/25,12:00 PM,Colorado (5),Washington (9),14,13,5,9
