event,type,home_team,away_team,home_score,away_score,home_seed,away_seed
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (5),Carleton College (16),13,15,5,16
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Florida (9),Rutgers (20),15,10,9,20
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),Rutgers (20),15,5,4,20
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Florida (9),Carleton College (16),10,14,9,16
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),North Carolina-Wilmington (5),15,12,4,5
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),Florida (9),15,10,4,9
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (16),Rutgers (20),15,14,16,20
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (5),Rutgers (20),15,11,5,20
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (5),Florida (9),14,13,5,9
USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),Carleton College (16),15,13,4,16
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Georgia (8),15,13,1,8
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Wisconsin (12),Texas (13),11,14,12,13
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Georgia (8),Texas (13),10,15,8,13
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Wisconsin (12),Auburn (17),15,9,12,17
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Auburn (17),15,4,1,17
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Wisconsin (12),15,12,1,12
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Georgia (8),Auburn (17),15,12,8,17
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Texas (13),12,13,1,13
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Georgia (8),Wisconsin (12),15,13,8,12
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas (13),Auburn (17),11,15,13,17
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas A&M (2),Cincinnati (18),14,12,2,18
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Western Washington (14),15,11,7,14
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas A&M (2),Central Florida (7),11,14,2,7
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Minnesota (11),Western Washington (14),14,11,11,14
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Minnesota (11),Cincinnati (18),15,12,11,18
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas A&M (2),Minnesota (11),13,15,2,11
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Cincinnati (18),15,11,7,18
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Western Washington (14),Cincinnati (18),14,13,14,18
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Minnesota (11),15,10,7,11
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas A&M (2),Western Washington (14),15,9,2,14
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Florida State (6),Oregon (15),15,12,6,15
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Maryland (10),Illinois (19),13,15,10,19
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Florida State (6),13,10,3,6
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Maryland (10),Oregon (15),15,11,10,15
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Illinois (19),15,12,3,19
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Oregon (15),Illinois (19),15,7,15,19
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Maryland (10),15,11,3,10
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Florida State (6),Illinois (19),15,11,6,19
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Oregon (15),5,15,3,15
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Florida State (6),Maryland (10),15,11,6,10
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Colorado (5),California-Santa Barbara (16),14,12,5,16
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Massachusetts (9),Cornell (20),15,7,9,20
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (4),Cornell (20),14,10,4,20
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Massachusetts (9),California-Santa Barbara (16),15,7,9,16
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (4),Colorado (5),13,14,4,5
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (4),Massachusetts (9),9,15,4,9
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,California-Santa Barbara (16),Cornell (20),15,10,16,20
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Colorado (5),Cornell (20),15,11,5,20
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (4),California-Santa Barbara (16),14,13,4,16
USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Colorado (5),Massachusetts (9),12,15,5,9
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Georgia (8),11,15,1,8
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Texas A&M (12),Washington (13),15,13,12,13
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Georgia (8),Washington (13),14,11,8,13
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Texas A&M (12),Cal Poly-SLO (17),11,13,12,17
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Cal Poly-SLO (17),15,8,1,17
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Texas A&M (12),15,9,1,12
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Georgia (8),Cal Poly-SLO (17),15,13,8,17
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Massachusetts (1),Washington (13),14,13,1,13
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Georgia (8),Texas A&M (12),2,15,8,12
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Washington (13),Cal Poly-SLO (17),15,14,13,17
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),Case Western Reserve (18),14,12,2,18
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina (7),Florida State (14),16,14,7,14
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),North Carolina (7),14,12,2,7
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Colorado (11),Florida State (14),15,12,11,14
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Colorado (11),Case Western Reserve (18),15,11,11,18
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),Colorado (11),9,15,2,11
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina (7),Case Western Reserve (18),16,15,7,18
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Florida State (14),Case Western Reserve (18),15,11,14,18
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina (7),Colorado (11),12,15,7,11
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Oregon (2),Florida State (14),15,11,2,14
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),Michigan (15),15,9,6,15
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Harvard (10),Connecticut (19),15,10,10,19
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (3),Wisconsin (6),11,15,3,6
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Harvard (10),Michigan (15),13,15,10,15
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (3),Connecticut (19),12,15,3,19
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Michigan (15),Connecticut (19),12,9,15,19
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (3),Harvard (10),12,15,3,10
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),Connecticut (19),15,9,6,19
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (3),Michigan (15),14,12,3,15
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Wisconsin (6),Harvard (10),15,6,6,10
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Pittsburgh (5),Auburn (16),13,15,5,16
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Carleton College (9),Utah (20),15,6,9,20
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Minnesota (4),Utah (20),15,8,4,20
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Carleton College (9),Auburn (16),16,15,9,16
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Minnesota (4),Pittsburgh (5),13,15,4,5
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Minnesota (4),Carleton College (9),15,11,4,9
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Auburn (16),Utah (20),15,12,16,20
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Pittsburgh (5),Utah (20),15,7,5,20
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Minnesota (4),Auburn (16),13,14,4,16
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,pool,Pittsburgh (5),Carleton College (9),15,10,5,9
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Washington (8),14,12,1,8
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Stanford (12),Colorado State (13),15,11,12,13
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Washington (8),Colorado State (13),15,10,8,13
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Stanford (12),Cal Poly-SLO (17),12,10,12,17
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Cal Poly-SLO (17),15,12,1,17
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Stanford (12),14,11,1,12
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Washington (8),Cal Poly-SLO (17),14,16,8,17
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Massachusetts (1),Colorado State (13),15,10,1,13
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Washington (8),Stanford (12),15,12,8,12
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Colorado State (13),Cal Poly-SLO (17),11,15,13,17
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Connecticut (18),15,5,2,18
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (7),Texas A&M; (14),15,7,7,14
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Michigan (7),15,8,2,7
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Texas A&M; (14),15,8,11,14
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (11),Connecticut (18),15,12,11,18
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),North Carolina-Wilmington (11),13,15,2,11
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (7),Connecticut (18),14,13,7,18
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Texas A&M; (14),Connecticut (18),14,11,14,18
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (7),North Carolina-Wilmington (11),7,15,7,11
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Texas A&M; (14),13,10,2,14
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (6),Auburn (15),15,8,6,15
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (10),Oregon State (19),15,12,10,19
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Carleton College (6),15,10,3,6
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (10),Auburn (15),13,14,10,15
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Oregon State (19),14,6,3,19
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Auburn (15),Oregon State (19),15,11,15,19
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Colorado (10),12,13,3,10
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (6),Oregon State (19),15,8,6,19
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (3),Auburn (15),15,10,3,15
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (6),Colorado (10),15,8,6,10
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (5),British Columbia (16),15,10,5,16
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (9),Virginia Tech (20),15,10,9,20
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),Virginia Tech (20),15,7,4,20
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (9),British Columbia (16),15,8,9,16
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),Oregon (5),15,11,4,5
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),Wisconsin (9),15,13,4,9
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,British Columbia (16),Virginia Tech (20),15,12,16,20
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (5),Virginia Tech (20),15,6,5,20
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Minnesota (4),British Columbia (16),9,15,4,16
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (5),Wisconsin (9),14,16,5,9
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Massachusetts (8),15,6,1,8
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Stanford (12),Auburn (13),7,14,12,13
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Massachusetts (8),Auburn (13),15,8,8,13
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Stanford (12),Northwestern (17),10,15,12,17
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Northwestern (17),15,8,1,17
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Stanford (12),12,10,1,12
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Massachusetts (8),Northwestern (17),15,12,8,17
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Auburn (13),15,6,1,13
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Massachusetts (8),Stanford (12),15,7,8,12
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Auburn (13),Northwestern (17),10,12,13,17
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),Connecticut (18),15,8,2,18
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Minnesota (7),William & Mary (14),15,8,7,14
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),Minnesota (7),15,4,2,7
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Texas (11),William & Mary (14),13,9,11,14
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Texas (11),Connecticut (18),15,11,11,18
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),Texas (11),15,8,2,11
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Minnesota (7),Connecticut (18),15,8,7,18
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,William & Mary (14),Connecticut (18),13,14,14,18
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Minnesota (7),Texas (11),10,13,7,11
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),William & Mary (14),11,13,2,14
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Georgia (6),Maryland (15),14,13,6,15
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Wisconsin (10),Georgetown (19),12,8,10,19
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Oregon (3),Georgia (6),15,7,3,6
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Wisconsin (10),Maryland (15),11,10,10,15
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Oregon (3),Georgetown (19),15,6,3,19
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Maryland (15),Georgetown (19),11,13,15,19
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Oregon (3),Wisconsin (10),15,8,3,10
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Georgia (6),Georgetown (19),13,12,6,19
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Oregon (3),Maryland (15),11,15,3,15
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Georgia (6),Wisconsin (10),10,15,6,10
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Washington (5),Victoria (16),15,11,5,16
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Pittsburgh (9),Florida State (20),15,9,9,20
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Brown (4),Florida State (20),15,6,4,20
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Pittsburgh (9),Victoria (16),14,8,9,16
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Brown (4),Washington (5),12,14,4,5
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Brown (4),Pittsburgh (9),14,12,4,9
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Victoria (16),Florida State (20),12,15,16,20
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Washington (5),Florida State (20),14,11,5,20
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Brown (4),Victoria (16),15,8,4,16
USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Washington (5),Pittsburgh (9),11,15,5,9
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),Ohio State (8),15,8,1,8
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Georgia (12),Minnesota (13),13,9,12,13
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Ohio State (8),Minnesota (13),8,10,8,13
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Georgia (12),California (17),10,8,12,17
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),California (17),15,4,1,17
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),Georgia (12),15,6,1,12
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Ohio State (8),California (17),14,8,8,17
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),Minnesota (13),15,9,1,13
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Ohio State (8),Georgia (12),14,8,8,12
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Minnesota (13),California (17),12,8,13,17
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),Iowa State (18),15,11,2,18
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina State (7),Michigan (14),14,15,7,14
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),North Carolina State (7),15,8,2,7
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Texas (11),Michigan (14),15,7,11,14
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Texas (11),Iowa State (18),15,7,11,18
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),Texas (11),11,7,2,11
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina State (7),Iowa State (18),15,13,7,18
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Michigan (14),Iowa State (18),15,14,14,18
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina State (7),Texas (11),13,14,7,11
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),Michigan (14),15,7,2,14
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Oregon (6),Tufts (15),15,8,6,15
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Wisconsin (10),Victoria (19),15,6,10,19
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Pittsburgh (3),Oregon (6),14,12,3,6
D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Wisconsin (10),Tufts (15),9,8,10,15
