season,Rank,Team,PR,Region,Conf,W,L
2013_college,55,Williams,1424,NE,SNE,10,3
2013_college,56,Iowa,1407,NC,WPL,10,10
2013_college,57,Illinois,1405,GL,IL,9,6
2013_college,58,Columbia,1401,ME,MNY,19,1
2013_college,59,Kenyon,1398,OV,OH-III,9,5
2013_college,60,California,1397,SW,NCAL,5,19
2013_college,61,Ohio State,1395,OV,OH,9,9
2013_college,62,Georgetown,1395,AC,COL,12,14
2013_college,63,Wisconsin-Milwaukee,1390,NC,LS,7,15
2013_college,64,Washington University,1384,SC,OZ,17,5
2013_college,65,California-Santa Barbara,1366,SW,SCAL,13,12
2013_college,66,Virginia,1361,AC,VA,12,14
2013_college,67,Michigan State,1360,GL,MI,8,12
2013_college,68,Puget Sound,1357,NW,NW-III,14,1
2013_college,69,San Diego State,1354,SW,SCAL,10,14
2013_college,70,George Mason,1333,AC,VA,11,3
2013_college,71,Auburn,1331,SE,GULF,9,2
2013_college,72,SUNY-Buffalo,1331,ME,WNY,15,11
2013_college,73,Dayton,1329,OV,OH,4,9
2013_college,74,Minnesota-Duluth,1328,NC,NWD,7,2
2013_college,75,Oklahoma State,1326,SC,OZ,7,4
2013_college,76,Mississippi State,1320,SE,GULF,12,2
2013_college,77,Clemson,1311,AC,CAR,6,9
2013_college,78,Georgia Southern,1304,SE,SAPP,11,11
2013_college,79,Tulane,1300,SE,GULF,9,6
2013_college,80,NYU,1297,ME,MNY,15,6
2013_college,81,George Washington,1294,AC,COL,5,4
2013_college,82,Queens-Kingston,1290,ME,WNY,12,2
2013_college,83,Appalachian State,1289,AC,CAR,6,9
2013_college,84,Cincinnati,1287,OV,OH,8,15
2013_college,85,UCLA,1283,SW,SCAL,4,7
2013_college,86,Kansas State,1273,SC,OZ,9,3
2013_college,87,Central Arkansas,1271,SC,OZ,3,3
2013_college,88,Stevens Tech,1266,ME,MNY-III,8,1
2013_college,89,Vermont,1264,NE,NNE,4,8
2013_college,90,North Carolina State,1261,AC,CAR,6,14
2013_college,91,Wake Forest,1253,AC,CAR-III,7,4
2013_college,92,Middlebury,1246,NE,NNE-III,6,5
2013_college,93,Texas State,1236,SC,STX,7,4
2013_college,94,Iowa State,1228,NC,WPL,8,5
2013_college,95,New Hampshire,1228,NE,NNE,10,7
2013_college,96,Brandeis,1226,NE,BOS-III,5,6
2013_college,97,Boston College,1226,NE,BOS,4,6
2013_college,98,St John's,1224,NC,NWD-III,12,9
2013_college,99,Rutgers,1222,ME,MNY,8,9
2013_college,100,Eastern Michigan,1222,GL,MI,12,10
2013_college,101,Harding,1203,SC,SCN-III,6,5
2013_college,102,William & Mary,1199,AC,VA,8,8
2013_college,103,Xavier,1177,OV,OH-III,8,9
2013_college,104,Chicago,1175,GL,IL,12,4
2013_college,105,Northeastern,1168,NE,BOS,6,6
2013_college,106,Colorado State,1165,SC,RM,7,6
2013_college,107,Minnesota State-Mankato,1159,NC,NWD,6,3
2013_college,108,Indiana,1155,GL,EPL,8,10
2013_college,109,Kennesaw State,1154,SE,SAPP,6,9
2013_college,110,Texas-B,1141,SC,STX,14,9
2013_college,111,Trinity,1127,SC,SCN-III,10,2
2013_college,112,Johns Hopkins,1126,AC,COL,7,4
2013_college,113,SUNY-Geneseo,1117,ME,WNY-III,8,2
2013_college,114,Towson,1114,AC,COL,6,13
2013_college,115,Truman State,1112,SC,SCN-III,7,3
2013_college,116,Baylor,1108,SC,NTX,4,5
2013_college,117,South Carolina,1108,AC,CAR,4,7
2013_college,118,Chico State,1103,SW,NCAL,3,2
2013_college,119,Wentworth,1094,NE,BOS-III,4,5
2013_college,120,Pacific Lutheran,1089,NW,NW-III,14,3
2013_college,121,Washington State,1086,NW,SKY,12,6
2013_college,122,Northwestern,1080,GL,IL,12,9
2013_college,123,Rice,1067,SC,SCN-III,7,3
2013_college,124,American,1064,AC,COL,6,4
2013_college,125,Claremont,1057,SW,SW-III,7,4
2013_college,126,Florida-B,1048,SE,FL-Dev,7,4
2013_college,127,Millersville,1037,OV,EPN,13,10
2013_college,128,Navy,1037,AC,NAC-III,8,2
2013_college,129,Illinois State,1036,GL,IL,10,7
2013_college,130,Duke,1035,AC,CAR,7,4
2013_college,131,Emory,1033,SE,SAPP,5,5
2013_college,132,Purdue,1031,GL,EPL,5,3
2013_college,133,Southern Mississippi,1026,SE,GULF,7,12
2013_college,134,North Carolina-Asheville,1023,AC,CAR-III,7,9
2013_college,135,Denison,1021,OV,OH-III,11,3
2013_college,136,John Brown,1019,SC,SCN-III,3,8
2013_college,137,North Park,1017,GL,IL-III,6,4
2013_college,138,Wisconsin-Eau Claire,1012,NC,LS,7,7
2013_college,139,Carleton College-GOP,1011,NC,NWD-III,8,5
2013_college,140,Notre Dame,1008,GL,EPL,9,9
2013_college,141,Cal State-Long Beach,987,SW,SCAL,3,7
2013_college,142,Utah,980,NW,SKY,9,8
2013_college,143,Eastern Illinois,978,GL,IL,7,4
2013_college,144,Elon,976,AC,CAR-III,5,6
2013_college,145,South Florida,970,SE,FL,2,12
2013_college,146,Vanderbilt,968,SE,GULF,6,7
2013_college,147,Oberlin,967,OV,OH-III,9,9
2013_college,148,Missouri State,960,SC,OZ,8,11
2013_college,149,Shippensburg,954,OV,WPN,12,13
2013_college,150,Nebraska,951,NC,WPL,7,5
2013_college,151,SUNY-Fredonia,950,ME,WNY-III,8,3
2013_college,152,Hendrix,946,SC,SCN-III,5,4
2013_college,153,Mississippi,946,SE,GULF,7,16
2013_college,154,Richmond,932,AC,NAC-III,3,7
2013_college,155,Dickinson,928,OV,WPN-III,6,5
2013_college,156,Bowdoin,924,NE,NNE-III,3,9
2013_college,157,Boston University,923,NE,BOS,4,6
2013_college,158,Oregon-B,923,NW,NW-Dev,6,5
2013_college,159,Tulsa,907,SC,SCN-III,5,7
2013_college,160,Messiah,896,OV,WPN-III,8,6
2013_college,161,Nebraska-Omaha,888,NC,WPL,5,7
2013_college,162,Georgia-B,886,SE,SAPP,6,8
2013_college,163,Cal Poly-SLO,885,SW,SCAL,2,10
2013_college,164,St Olaf,875,NC,NWD-III,3,7
2013_college,165,Central Connecticut State,875,ME,HUD,6,10
2013_college,166,Temple,867,OV,EPN,7,10
2013_college,167,Rhode Island,862,NE,SNE,5,12
2013_college,168,Lehigh,862,OV,EPN-III,5,7
2013_college,169,St Joseph's,853,OV,EPN,10,3
2013_college,170,Azusa Pacific,847,SW,SCAL,4,5
2013_college,171,SUNY-Albany,843,ME,HUD,10,3
2013_college,172,Occidental,837,SW,SW-III,7,9
2013_college,173,MIT,836,NE,BOS,11,8
2013_college,174,Georgia State,835,SE,SAPP,10,8
2013_college,175,Salem State,832,NE,NNE,4,6
2013_college,176,Virginia Commonwealth,831,AC,VA,7,13
2013_college,177,Marquette,828,NC,LS,7,4
2013_college,178,Ball State,828,GL,EPL,6,7
2013_college,179,Siena,825,ME,HUD-III,6,7
2013_college,180,Haverford,823,OV,EPN-III,8,7
2013_college,181,Boise State,823,NW,SKY,1,5
2013_college,182,St Louis,818,SC,OZ,4,7
2013_college,183,Willamette,800,NW,NW-III,8,3
2013_college,184,College of New Jersey,799,ME,MNY-III,4,4
2013_college,185,Georgia College,795,SE,SE-III,4,5
2013_college,186,Lewis & Clark,793,NW,NW-III,8,7
2013_college,187,Liberty,776,AC,VA,3,8
2013_college,188,Ithaca,773,ME,WNY-III,7,5
2013_college,189,Amherst,771,NE,SNE-III,5,6
2013_college,190,Catholic,771,AC,NAC-III,6,6
2013_college,191,Pittsburgh-Johnstown,765,OV,WPN-III,5,9
2013_college,192,Texas Tech,745,SC,NTX,6,3
2013_college,193,Santa Clara,730,SW,NCAL,2,7
2013_college,194,Loyola-Chicago,725,GL,IL,5,3
2013_college,195,Wheaton (Illinois),721,GL,IL-III,3,14
2013_college,196,Wisconsin-B,719,NC,LS-Dev,6,4
2013_college,197,Stockton,715,ME,MNY-III,6,5
2013_college,198,Bard,715,ME,HUD-III,8,3
2013_college,199,St Mary's (Maryland),715,AC,NAC-III,5,7
2013_college,200,Toledo,711,OV,OH,2,11
2013_college,201,Michigan-B,694,GL,EGL-Dev,6,3
2013_college,202,Florida State-B,682,SE,FL-Dev,4,6
2013_college,203,Ohio Wesleyan,655,OV,OH-III,2,5
2013_college,204,LSU-B,617,SE,GULF,2,7
2013_college,205,Cal Poly-Pomona,611,SW,SCAL,3,6
2013_college,206,Drury,592,SC,SCN-III,2,5
2013_college,207,Miami,589,SE,FL,1,4
2013_college,208,James Madison-B,584,AC,VA-Dev,7,1
2013_college,209,Western Illinois,581,GL,IL,4,7
2013_college,210,Texas Christian,577,SC,NTX,3,11
2013_college,211,Bucknell,558,OV,WPN-III,3,4
2013_college,212,Wisconsin-Parkside,548,NC,LS-III,2,9
2013_college,213,Army,539,ME,HUD-III,6,6
2013_college,214,Valparaiso,527,GL,EPL-III,2,7
2013_college,215,Missouri-B,510,SC,OZ,2,12
2013_college,216,Harvard-B,492,NE,BOS-Dev,6,2
2013_college,217,Armstrong Atlantic,488,SE,SE-III,4,4
2013_college,218,Virginia-B,487,AC,VA-Dev,5,2
2013_college,219,Swarthmore,473,OV,EPN-III,4,5
2013_college,220,Gonzaga,454,NW,SKY,5,6
2013_college,221,Miami (Ohio),440,OV,OH,2,9
2013_college,222,Delaware-B,437,AC,COL-Dev,4,3
2013_college,223,SUNY-Cortland,435,ME,WNY-III,3,4
2013_college,224,Georgetown-B,433,AC,COL-Dev,5,4
2013_college,225,Georgia Tech-B,422,SE,SAPP,2,6
2013_college,226,Tufts-C,418,NE,BOS-Dev,4,3
2013_college,227,Edinboro,417,OV,WPN,4,7
2013_college,228,SUNY-Binghamton,401,ME,WNY,1,4
2013_college,229,DePaul,379,GL,IL,3,7
2013_college,230,Rensselaer Polytech,376,ME,HUD-III,2,13
2013_college,231,Drexel,374,OV,EPN,4,13
2013_college,232,Washington-B,370,NW-Dev,CAS,3,12
2013_college,233,Franklin & Marshall,364,OV,EPN-III,2,7
2013_college,234,Brown-B,361,NE,SNE-Dev,2,6
2013_college,235,Sam Houston,355,SC,STX,3,6
2013_college,236,Kentucky,354,GL,EPL,5,5
2013_college,237,Hofstra,334,ME,MNY,5,5
2013_college,238,Syracuse,321,ME,WNY,6,3
2013_college,239,Lehigh-B,296,OV,EPN-Dev,4,4
2013_college,240,Illinois-B,292,GL,IL-Dev,3,11
2013_college,241,Cornell-B,278,ME,ME-Dev,5,11
2013_college,242,Wisconsin-La Crosse,264,NC,LS,1,5
2013_college,243,SUNY-Oneonta,223,ME,WNY-III,4,5
2013_college,244,Shippensburg-B,96,OV,WPN-Dev,4,7
2013_college,245,SUNY-Buffalo-B,92,ME,ME-Dev,11,8
2013_college,246,Penn State-B,72,OV,WPN-Dev,4,6
2013_college,247,Princeton-B,33,ME,ME-Dev,4,6
2013_college,248,Dayton-B,6,OV,OH-Dev,1,8
2013_college,249,Berklee,-42,NE,BOS-III,1,8
2013_college,250,RIT,-84,ME,WNY,3,11
2013_college,251,Illinois State-B,-94,GL,IL-Dev,2,7
2013_college,252,George Washington-B,-102,AC,COL-Dev,2,7
2013_college,253,Washington University-B,-103,SC,OZ,0,15
2013_college,254,Notre Dame-B,-148,GL,EGL-Dev,1,14
2013_college,255,Dartmouth-B,-159,NE,NNE-Dev,1,5
2013_college,256,Columbia-B,-182,ME,ME-Dev,1,11
2013_college,257,New Hampshire-B,-201,NE,NNE-Dev,4,4
2013_college,258,Rider,-255,ME,MNY-III,2,7
2013_college,259,Florida State-C,-413,SE,FL-Dev,2,7
2013_college,260,Puget Sound-B,-666,NW,NW-Dev,1,10
2013_college,261,St Olaf-B,-671,NC,WNC-Dev,1,5
2013_college,262,Alabama-B,-723,SE,GULF,0,10
2013_college,263,Chicago-B,-825,GL,IL-Dev,1,5
2013_college,264,Virginia Commonwealth-B,-1295,AC,VA-Dev,0,11
