season,Rank,Team,PR,Region,Conf,W,L
2013_college,1,Wisconsin,2077,NC,LS,16,3
2013_college,2,North Carolina,2045,AC,CAR,20,4
2013_college,3,Minnesota,2032,NC,NWD,12,1
2013_college,4,Oregon,2017,NW,CAS,15,3
2013_college,5,Pittsburgh,2015,OV,WPN,15,5
2013_college,6,Texas,1940,SC,STX,16,6
2013_college,7,Carleton College,1932,NC,NWD,14,7
2013_college,8,Florida State,1924,SE,FL,13,6
2013_college,9,Central Florida,1918,SE,FL,18,9
2013_college,10,Colorado,1851,SC,RM,14,8
2013_college,11,Harvard,1849,NE,BOS,17,5
2013_college,12,Ohio,1835,OV,OH,14,4
2013_college,13,Florida,1825,SE,FL,10,7
2013_college,14,Arizona,1808,SW,DES,21,6
2013_college,15,Tufts,1799,NE,BOS,16,8
2013_college,16,North Carolina-Wilmington,1789,AC,CAR,18,8
2013_college,17,Whitman,1773,NW,SKY,8,4
2013_college,18,Stanford,1733,SW,NCAL,6,10
2013_college,19,Texas A & M,1732,SC,STX,12,8
2013_college,20,Dartmouth,1725,NE,NNE-III,13,8
2013_college,21,Northern Iowa,1713,NC,WPL,16,3
2013_college,22,Oregon State,1675,NW,CAS,13,6
2013_college,23,Missouri,1658,SC,OZ,17,4
2013_college,24,Las Positas,1654,SW,NCAL,9,4
2013_college,25,Georgia,1650,SE,SAPP,13,8
2013_college,26,Carnegie-Mellon,1643,OV,WPN,14,4
2013_college,27,Victoria,1623,NW,CAS,5,4
2013_college,28,Case Western Reserve,1618,OV,OH,10,4
2013_college,29,Georgia Tech,1618,SE,SAPP,15,8
2013_college,30,Brown,1601,NE,SNE,8,11
2013_college,31,California-Davis,1601,SW,NCAL,11,10
2013_college,32,Kansas,1597,SC,OZ,10,5
2013_college,33,Michigan,1597,GL,MI,12,7
2013_college,34,James Madison,1572,AC,VA,9,1
2013_college,35,Penn State,1567,OV,WPN,12,6
2013_college,36,North Texas,1560,SC,NTX,10,3
2013_college,37,Washington,1545,NW,CAS,8,12
2013_college,38,LSU,1542,SE,GULF,16,6
2013_college,39,Oklahoma,1520,SC,OZ,9,7
2013_college,40,Arizona State,1518,SW,DES,6,12
2013_college,41,Western Washington,1513,NW,CAS,10,3
2013_college,42,Tufts-B,1504,NE,BOS-Dev,11,2
2013_college,43,Colorado College,1494,SC,RM,10,8
2013_college,44,Alabama,1493,SE,GULF,10,6
2013_college,45,Maryland,1492,AC,COL,10,13
2013_college,46,Cornell,1491,ME,WNY,12,11
2013_college,47,Massachusetts,1486,NE,SNE,10,6
2013_college,48,Princeton,1478,ME,MNY,10,4
2013_college,49,Connecticut,1474,ME,HUD,13,9
2013_college,50,Virginia Tech,1463,AC,VA,9,9
2013_college,51,Pennsylvania,1453,OV,EPN,11,3
2013_college,52,Luther,1442,NC,WPL,10,3
2013_college,53,California-San Diego,1436,SW,SCAL,10,13
2013_college,54,Bentley,1427,NE,BOS-III,12,3
