Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
13,Florida ,1827,College,Men,Division I,Gainesville,FL,28,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
14,Texas A&M ,1812,College,Men,Division I,COLLEGE STATION,TX,21,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
15,British Columbia ,1773,College,Men,Division I,Vancouver,BC,25,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
16,Brigham Young ,1737,College,Men,Division I,Provo,UT,18,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
17,Michigan ,1733,College,Men,Division I,Ann Arbor,MI,23,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
18,Auburn ,1729,College,Men,Division I,Auburn,AL,28,15,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
19,Washington ,1708,College,Men,Division I,Seattle,WA,35,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
20,Ohio State ,1704,College,Men,Division I,Columbus,OH,24,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
21,Florida State ,1702,College,Men,Division I,Tallahassee,FL,21,16,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
22,Cal Poly-SLO ,1676,College,Men,Division I,San Luis Obispo,CA,33,21,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
23,Texas ,1663,College,Men,Division I,Austin,TX,18,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
24,Penn State ,1647,College,Men,Division I,State College,PA,20,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
25,Case Western Reserve ,1644,College,Men,Division I,Cleveland,OH,31,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
26,Arkansas ,1619,College,Men,Division I,Fayetteville,AR,23,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
27,James Madison ,1616,College,Men,Division I,Harrisonburg,VA,20,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
28,Connecticut ,1615,College,Men,Division I,Storrs,CT,26,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
29,Central Florida ,1610,College,Men,Division I,Orlando,FL,11,20,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
30,California-Santa Barbara ,1604,College,Men,Division I,Goleta,CA,20,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
31,Virginia Tech ,1600,College,Men,Division I,Blacksburg,VA,17,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
32,Virginia Commonwealth ,1598,College,Men,Division I,Richmond,VA,25,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
33,Georgia Tech ,1583,College,Men,Division I,Atlanta,GA,30,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
34,California-San Diego ,1577,College,Men,Division I,San Diego,CA,24,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
35,Manitoba ,1570,College,Men,Division I,Winnipeg,Manitoba,3,2,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
36,Missouri ,1561,College,Men,Division I,Columbia,MO,21,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
37,LSU ,1555,College,Men,Division I,Baton Rouge,LA,23,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
38,Maryland ,1545,College,Men,Division I,College Park,MD,26,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
39,Victoria ,1534,College,Men,Division I,Victoria,BC,16,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
40,Western Washington ,1529,College,Men,Division I,Bellingham,WA,23,21,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
41,Tulane ,1528,College,Men,Division I,New Orleans,LA,18,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
42,Lewis & Clark ,1526,College,Men,Division III,Portland,OR,24,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
43,Purdue ,1524,College,Men,Division I,West Lafayette,IN,20,6,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
44,Northwestern ,1521,College,Men,Division I,Evanston,IL,23,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
45,Georgetown ,1515,College,Men,Division I,Washington,DC,29,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
46,Utah ,1512,College,Men,Division I,Salt Lake City,UT,20,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
47,Brown ,1511,College,Men,Division I,Providence,RI,11,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
48,Bryant ,1510,College,Men,Division III,Smithfield,RI,16,4,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
49,Colorado State ,1508,College,Men,Division I,Fort Collins,CO,17,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
50,California-Santa Cruz ,1508,College,Men,Division I,Santa Cruz,CA,14,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
51,Oregon State ,1499,College,Men,Division I,Corvallis,OR,23,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
52,Kansas ,1491,College,Men,Division I,Lawrence,KS,18,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
53,Brandeis ,1482,College,Men,Division III,Waltham,MA,25,8,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
54,Notre Dame ,1481,College,Men,Division I,Notre Dame,IN,26,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
55,Virginia ,1476,College,Men,Division I,Charlottesville,VA,14,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
56,Georgia College ,1472,College,Men,Division III,Milledgeville,GA,30,3,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
57,Illinois ,1470,College,Men,Division I,Champaign,IL,17,19,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
58,North Carolina State ,1463,College,Men,Division I,Raleigh,NC,20,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
59,Wheaton (Illinois) ,1463,College,Men,Division III,Wheaton,IL,22,6,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
60,Tufts ,1451,College,Men,Division I,Medford,MA,12,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
61,Iowa ,1449,College,Men,Division I,Iowa City,IA,17,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
