Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
1,Carleton College ,2108,College,Men,Division I,Northfield,MN,33,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
2,Massachusetts ,2105,College,Men,Division I,Amherst,MA,26,3,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
3,Pittsburgh ,2087,College,Men,Division I,Pittsburgh,PA,36,5,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
4,North Carolina ,2058,College,Men,Division I,Chapel Hill,NC,39,6,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
5,Minnesota ,1974,College,Men,Division I,Minneapolis,MN,33,6,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
6,North Carolina-Wilmington ,1967,College,Men,Division I,Wilmington,NC,28,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
7,Wisconsin ,1933,College,Men,Division I,Madison,WI,31,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
8,Oregon ,1931,College,Men,Division I,Eugene,OR,34,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
9,Washington ,1870,College,Men,Division I,Seattle,WA,29,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
10,Brigham Young ,1851,College,Men,Division I,Provo,UT,22,6,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
11,Michigan ,1839,College,Men,Division I,Ann Arbor,MI,30,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
12,Colorado ,1804,College,Men,Division I,Boulder,CO,27,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
13,British Columbia ,1804,College,Men,Division I,Vancouver,BC,24,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
14,Stanford ,1800,College,Men,Division I,Stanford,CA,29,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
15,Georgia ,1790,College,Men,Division I,Athens,GA,24,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
16,North Carolina State ,1769,College,Men,Division I,Raleigh,NC,26,11,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
17,Auburn ,1766,College,Men,Division I,Auburn,AL,24,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
18,Cal Poly-SLO ,1745,College,Men,Division I,San Luis Obispo,CA,31,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
19,Texas A&M ,1736,College,Men,Division I,COLLEGE STATION,TX,25,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
20,Central Florida ,1698,College,Men,Division I,Orlando,FL,27,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
21,Colorado State ,1685,College,Men,Division I,Fort Collins,CO,26,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
22,Bryant ,1659,College,Men,Division III,Smithfield,RI,21,2,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
23,Connecticut ,1656,College,Men,Division I,Storrs,CT,23,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
24,Southern California ,1636,College,Men,Division I,Los Angeles,CA,24,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
25,Northeastern ,1631,College,Men,Division I,Boston,MA,23,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
26,Virginia ,1628,College,Men,Division I,Charlottesville,VA,24,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
27,Penn State ,1610,College,Men,Division I,State College,PA,20,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
28,Franciscan ,1608,College,Men,Division III,Steubenville,OH,35,1,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
29,Richmond ,1603,College,Men,Division III,Richmond,VA,25,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
30,Brown ,1593,College,Men,Division I,Providence,RI,15,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
31,Case Western Reserve ,1591,College,Men,Division I,Cleveland,OH,22,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
