Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
32,Harvard ,1590,College,Men,Division I,Cambridge,MA,19,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
33,Florida State ,1587,College,Men,Division I,TALLAHASSEE,FL,19,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
34,Northwestern ,1582,College,Men,Division I,Evanston,IL,29,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
35,Tufts ,1578,College,Men,Division I,Medford,MA,12,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
36,Purdue ,1577,College,Men,Division I,West Lafayette,IN,26,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
37,James Madison ,1574,College,Men,Division I,Harrisonburg,VA,22,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
38,Florida ,1573,College,Men,Division I,Gainesville,FL,28,11,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
39,Texas ,1557,College,Men,Division I,Austin,TX,18,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
40,Virginia Tech ,1556,College,Men,Division I,Blacksburg,VA,18,21,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
41,Western Washington ,1556,College,Men,Division I,Bellingham,WA,16,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
42,Notre Dame ,1551,College,Men,Division I,Notre Dame,IN,23,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
43,Cincinnati ,1540,College,Men,Division I,Cincinnati,OH,23,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
44,Oregon State ,1536,College,Men,Division I,Corvallis,OR,26,22,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
45,William & Mary ,1535,College,Men,Division I,Williamsburg,VA,24,17,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
46,California-Santa Barbara ,1532,College,Men,Division I,Goleta,CA,21,17,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
47,Illinois ,1531,College,Men,Division I,Champaign,IL,16,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
48,Davidson ,1530,College,Men,Division III,Davidson,NC,26,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
49,Iowa State ,1524,College,Men,Division I,Ames,IA,25,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
50,George Washington ,1497,College,Men,Division I,Washington,DC,23,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
51,LSU ,1483,College,Men,Division I,Baton Rouge,LA,28,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
52,Vermont ,1477,College,Men,Division I,Burlington,VT,15,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
53,Villanova ,1473,College,Men,Division I,Villanova,PA,22,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
54,California-San Diego ,1450,College,Men,Division I,San Diego,CA,12,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
55,Ohio State ,1430,College,Men,Division I,Columbus,OH,24,17,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
56,Texas Tech ,1429,College,Men,Division I,Lubbock,TX,29,5,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
57,Chicago ,1420,College,Men,Division I,Chicago,IL,18,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
58,Maryland ,1417,College,Men,Division I,College Park,MD,26,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
59,Arizona ,1415,College,Men,Division I,Tucson,AZ,10,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
60,Lehigh ,1415,College,Men,Division I,Bethlehem,PA,23,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
61,Boston College ,1413,College,Men,Division I,Chestnut Hill,MA,15,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
62,Utah ,1411,College,Men,Division I,Salt Lake City,UT,15,11,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
63,Clemson ,1409,College,Men,Division I,Clemson,SC,17,20,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
64,Tennessee ,1402,College,Men,Division I,Knoxville,TN,16,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
65,Emory ,1399,College,Men,Division I,Atlanta,GA,18,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
66,Georgia Tech ,1385,College,Men,Division I,Atlanta,GA,13,22,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
67,Minnesota-Duluth ,1382,College,Men,Division I,Duluth,MN,17,6,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
68,John Brown ,1380,College,Men,Division III,Siloam Springs,AR,27,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
69,Illinois State ,1374,College,Men,Division I,Normal,IL,22,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
70,Tennessee-Chattanooga ,1372,College,Men,Division I,Chattanooga,TN,21,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
71,Alabama-Huntsville ,1365,College,Men,Division III,Huntsville,AL,30,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
72,Arkansas ,1364,College,Men,Division I,Fayetteville,AR,14,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
73,Oklahoma ,1359,College,Men,Division I,Norman,OK,19,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
74,Air Force ,1358,College,Men,Division III,USAF Academy,CO,32,6,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
75,Colorado College ,1357,College,Men,Division III,Colorado Springs,CO,27,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
76,North Carolina-Charlotte ,1357,College,Men,Division I,Charlotte,NC,15,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
77,Washington University ,1355,College,Men,Division I,St. Louis,MO,20,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
78,Victoria ,1355,College,Men,Division I,Victoria,BC,7,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
79,Middlebury ,1350,College,Men,Division III,Middlebury,VT,23,5,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
80,Dartmouth ,1338,College,Men,Division III,Hanover,NH,20,20,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
81,Montana State  ,1337,College,Men,Division I,Bozeman,MT,17,6,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
82,Amherst ,1336,College,Men,Division III,Amherst,MA,22,11,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
83,Virginia Commonwealth ,1335,College,Men,Division I,Richmond,VA,14,11,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
84,California-Davis ,1334,College,Men,Division I,Davis,CA,16,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
85,Georgia Southern ,1334,College,Men,Division I,"Statesboro, GA",GA,19,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
86,Iowa ,1323,College,Men,Division I,Iowa City,IA,23,19,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
87,St John's ,1313,College,Men,Division III,Collegeville,MN,24,6,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
88,Utah State ,1313,College,Men,Division I,Logan,UT,13,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
89,Brandeis ,1311,College,Men,Division III,Waltham,MA,23,5,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
90,California ,1302,College,Men,Division I,Berkeley,CA,12,17,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
91,Santa Clara ,1297,College,Men,Division I,Santa Clara,CA,17,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
92,South Florida ,1286,College,Men,Division I,Tampa,FL,11,17,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
93,Carleton College-GoP ,1285,College,Men,Division III,Northfield,MN,19,5,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
94,Wheaton (Illinois) ,1284,College,Men,Division III,Wheaton,IL,23,6,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
95,South Carolina ,1283,College,Men,Division I,Columbia,SC,14,20,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
96,Wisconsin-Whitewater ,1280,College,Men,Division I,Whitewater,WI,6,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
97,Texas State ,1270,College,Men,Division I,San Marcos,TX,18,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
98,George Mason ,1266,College,Men,Division I,Fairfax,VA,14,17,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
99,Shippensburg ,1266,College,Men,Division III,Shippensburg,PA,28,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
100,Ohio ,1255,College,Men,Division I,Athens,OH,19,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
101,Temple ,1251,College,Men,Division I,Philadelphia,PA,19,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
102,MIT ,1247,College,Men,Division I,Cambridge,MA,15,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
103,Baylor ,1246,College,Men,Division I,Waco,TX,18,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
104,Akron ,1234,College,Men,Division I,Akron,OH,15,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
105,Princeton ,1233,College,Men,Division I,Princeton,NJ,18,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
106,Georgetown ,1233,College,Men,Division I,Washington,DC,13,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
107,Luther ,1232,College,Men,Division I,Decorah,IA,19,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
108,Kennesaw State ,1230,College,Men,Division I,Kennesaw,GA,20,19,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
109,North Carolina-Asheville ,1227,College,Men,Division III,Asheville,NC,13,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
110,Carnegie Mellon ,1227,College,Men,Division I,Pittsburgh,PA,20,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
111,Appalachian State ,1218,College,Men,Division I,Boone,NC,14,6,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
112,Mississippi ,1217,College,Men,Division I,Oxford,MS,13,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
113,Michigan State ,1211,College,Men,Division I,East Lansing,MI,9,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
114,Mary Washington ,1205,College,Men,Division III,Fredericksburg,VA,11,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
115,Syndicate ,1203,Club,Men,Classic,Colorado Springs,CO,3,2,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
116,Delaware ,1201,College,Men,Division I,Newark,DE,14,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
117,Marquette  ,1200,College,Men,Division I,Milwaukee,WI,18,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
118,Indiana ,1196,College,Men,Division I,Bloomington,IN,17,18,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
119,New Mexico ,1193,College,Men,Division I,Albuquerque,NM,1,2,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
120,UCLA ,1192,College,Men,Division I,Los Angeles,CA,13,11,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
121,Arizona State ,1188,College,Men,Division I,Tempe,AZ,10,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
122,Nevada-Reno ,1184,College,Men,Division I,Reno,NV,18,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
123,Williams ,1177,College,Men,Division III,Williamstown,MA,24,19,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
124,Alabama ,1174,College,Men,Division I,Tuscaloosa,AL,18,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
125,Kansas ,1172,College,Men,Division I,Lawrence,KS,17,19,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
126,Grand Valley State ,1172,College,Men,Division I,Allendale,MI,13,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
127,Texas A&M B ,1168,College,Men,Developmental,College Station,TX,15,8,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
128,Chico State ,1164,College,Men,Division I,Chico,CA,23,11,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
129,San Diego State ,1160,College,Men,Division I,San Diego,CA,15,21,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
130,Bentley ,1155,College,Men,Division III,Waltham,MA,19,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
131,SUNY-Albany ,1150,College,Men,Division I,Albany,NY,16,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
132,Minnesota B ,1149,College,Men,Developmental,Minneapolis,MN,19,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
133,Portland ,1148,College,Men,Division III,Portland,OR,19,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
134,Union (Tennessee) ,1146,College,Men,Division III,Jackson,TN,19,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
135,Cornell ,1142,College,Men,Division I,Ithaca,NY,16,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
136,Saint Louis ,1141,College,Men,Division I,St. Louis,MO,19,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
137,Messiah ,1140,College,Men,Division III,Mechanicsburg,PA,20,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
138,Liberty ,1138,College,Men,Division I,Lynchburg,VA,10,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
139,Duke ,1136,College,Men,Division I,Durham,NC,12,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
140,Johns Hopkins ,1129,College,Men,Division I,Baltimore,MD,10,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
141,High Point ,1129,College,Men,Division III,High Point,NC,15,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
142,Bowdoin ,1128,College,Men,Division III,Brunswick,ME,16,11,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
143,Navy ,1122,College,Men,Division III,Annapolis,MD,19,17,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
144,Rutgers ,1120,College,Men,Division I,New Brunswick,NJ,12,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
145,West Chester ,1120,College,Men,Division I,West Chester,PA,21,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
146,Army ,1109,College,Men,Division III,West Point,NY,22,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
147,North Carolina B ,1108,College,Men,Developmental,Chapel Hill,NC,13,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
148,Knox ,1100,College,Men,Division III,Galesburg ,IL,21,7,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
149,Hamilton ,1100,College,Men,Division III,Clinton,NY,13,4,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
150,Whitman ,1093,College,Men,Division I,Walla Walla,WA,13,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
151,Bates ,1085,College,Men,Division III,Lewiston,ME,18,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
152,Georgia College ,1084,College,Men,Division III,Milledgeville,GA,17,11,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
153,Missouri S&T ,1070,College,Men,Division III,Rolla,MO,11,10,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
154,NYU ,1067,College,Men,Division I,New York,NY,14,14,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
155,Cal Poly-Pomona ,1060,College,Men,Division I,Pomona,CA,10,9,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
156,Wisconsin-Milwaukee ,1060,College,Men,Division I,Milwaukee,WI,12,12,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
157,New Hampshire ,1058,College,Men,Division I,Durham,NH,7,13,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
158,Haverford ,1057,College,Men,Division III,Haverford,PA,25,15,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
159,Wisconsin-Eau Claire ,1056,College,Men,Division I,Eau Claire,WI,22,16,FFpN6SSdQ3F1vLms%2f5SniKwbFmNnXLoV1j47eNK0Ytc%3d,2017_college
