Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
1,Carleton College ,2165,College,Men,Division I,Northfield,MN,38,3,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
2,North Carolina ,2140,College,Men,Division I,Chapel Hill,NC,41,2,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
3,Oregon ,1996,College,Men,Division I,Eugene,OR,35,5,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
4,Pittsburgh ,1957,College,Men,Division I,Pittsburgh,PA,30,9,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
5,Brown ,1954,College,Men,Division I,Providence,RI,26,9,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
6,Washington ,1870,College,Men,Division I,Seattle,WA,38,9,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
7,Massachusetts ,1867,College,Men,Division I,Amherst,MA,24,8,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
8,Minnesota ,1860,College,Men,Division I,Minneapolis,MN,33,10,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
9,Georgia ,1790,College,Men,Division I,Athens,GA,20,7,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
10,Wisconsin ,1764,College,Men,Division I,Madison,WI,31,13,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
11,Florida ,1752,College,Men,Division I,Gainesville,FL,31,10,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
12,Texas ,1743,College,Men,Division I,Austin,TX,28,14,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
13,Virginia Tech ,1702,College,Men,Division I,Blacksburg,VA,25,11,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
14,Brigham Young ,1697,College,Men,Division I,Provo,UT,21,10,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
15,North Carolina-Wilmington ,1694,College,Men,Division I,Wilmington,NC,30,9,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
16,William & Mary ,1679,College,Men,Division I,Williamsburg,VA,37,10,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
17,Colorado ,1676,College,Men,Division I,Boulder,CO,22,11,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
18,Auburn ,1675,College,Men,Division I,Auburn,AL,26,14,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
19,Cal Poly-SLO ,1666,College,Men,Division I,San Luis Obispo,CA,26,15,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
20,North Carolina State ,1660,College,Men,Division I,Raleigh,NC,26,16,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
21,Colorado State ,1657,College,Men,Division I,Fort Collins,CO,23,9,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
22,Tufts ,1654,College,Men,Division I,Medford,MA,21,10,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
23,Texas A&M ,1648,College,Men,Division I,COLLEGE STATION,TX,17,9,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
24,Maryland ,1640,College,Men,Division I,College Park,MD,27,18,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
25,Carnegie Mellon ,1612,College,Men,Division I,Pittsburgh,PA,20,11,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
26,Stanford ,1612,College,Men,Division I,Stanford,CA,25,13,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
27,Northwestern ,1608,College,Men,Division I,Evanston,IL,25,19,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
28,Texas State ,1605,College,Men,Division I,San Marcos,TX,24,8,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
29,Bryant ,1586,College,Men,Division III,Smithfield,RI,25,2,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
30,Iowa ,1582,College,Men,Division I,Iowa City,IA,20,8,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
31,Ohio State ,1581,College,Men,Division I,Columbus,OH,29,12,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
32,Western Washington ,1568,College,Men,Division I,Bellingham,WA,20,14,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
33,Dartmouth ,1555,College,Men,Division I,Hanover,NH,23,10,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
34,Emory ,1550,College,Men,Division I,Atlanta,GA,18,10,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
35,LSU ,1545,College,Men,Division I,Baton Rouge,LA,19,16,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
36,Kennesaw State ,1542,College,Men,Division I,Kennesaw,GA,24,9,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
37,Michigan ,1540,College,Men,Division I,Ann Arbor,MI,14,11,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
38,Victoria ,1532,College,Men,Division I,Victoria,BC,16,15,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
39,Middlebury ,1527,College,Men,Division III,Middlebury,VT,30,4,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
40,California ,1525,College,Men,Division I,Berkeley,CA,28,20,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
41,Connecticut ,1523,College,Men,Division I,Storrs,CT,26,17,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
42,Notre Dame ,1519,College,Men,Division I,Notre Dame,IN,20,9,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
43,Northeastern ,1518,College,Men,Division I,Boston,MA,20,15,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
44,Air Force ,1516,College,Men,Division III,USAF Academy,CO,31,3,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
45,Florida State ,1502,College,Men,Division I,TALLAHASSEE,FL,21,20,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
46,Georgetown ,1501,College,Men,Division I,Washington,DC,26,19,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
47,Marquette ,1489,College,Men,Division I,Milwaukee,WI,21,10,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
48,Temple ,1484,College,Men,Division I,Philadelphia,PA,24,10,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
49,Illinois ,1480,College,Men,Division I,Champaign,IL,24,16,7Cm64Eqn%2fd3gep%2bI11xZnTaihMbTcv53Pwda6jUW4KU%3d,2018_college
