Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
1,Brown ,2181,College,Men,Division I,Providence,RI,40,2,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
2,North Carolina ,2169,College,Men,Division I,Chapel Hill,NC,38,3,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
3,Oregon ,1964,College,Men,Division I,Eugene,OR,29,8,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
4,Pittsburgh ,1962,College,Men,Division I,Pittsburgh,PA,31,8,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
5,Cal Poly-SLO ,1956,College,Men,Division I,San Luis Obispo,CA,36,6,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
6,Colorado ,1951,College,Men,Division I,Boulder,CO,26,8,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
7,Carleton College-CUT ,1927,College,Men,Division I,Northfield,MN,23,10,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
8,Ohio State ,1911,College,Men,Division I,Columbus,OH,20,9,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
9,Brigham Young ,1896,College,Men,Division I,Provo,UT,26,3,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
10,Massachusetts ,1875,College,Men,Division I,Amherst,MA,26,8,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
11,Texas ,1871,College,Men,Division I,Austin,TX,26,10,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
12,Wisconsin ,1860,College,Men,Division I,Madison,WI,28,10,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
13,Washington ,1829,College,Men,Division I,Seattle,WA,26,11,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
14,North Carolina State ,1816,College,Men,Division I,Raleigh,NC,27,14,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
15,Minnesota ,1815,College,Men,Division I,Minneapolis,MN,26,14,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
16,Georgia ,1803,College,Men,Division I,Athens,GA,25,12,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
17,Southern California ,1773,College,Men,Division I,Los Angeles,CA,25,7,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
18,Central Florida ,1767,College,Men,Division I,Orlando,FL,21,4,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
19,Michigan ,1746,College,Men,Division I,Ann Arbor,MI,28,6,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
20,Northeastern ,1741,College,Men,Division I,Boston,MA,23,15,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
21,Tufts ,1721,College,Men,Division I,Medford,MA,22,19,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
22,Colorado State ,1676,College,Men,Division I,Fort Collins,CO,16,13,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
23,Auburn ,1673,College,Men,Division I,Auburn,AL,27,9,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
24,Texas-Dallas ,1655,College,Men,Division I,Richardson,TX,16,14,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
25,South Carolina ,1648,College,Men,Division I,Columbia,SC,25,11,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
26,North Carolina-Wilmington ,1637,College,Men,Division I,Wilmington,NC,22,14,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
27,California ,1637,College,Men,Division I,Berkeley,CA,28,16,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
28,Middlebury ,1634,College,Men,Division III,Middlebury,VT,31,3,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
29,Iowa State ,1630,College,Men,Division I,Ames,IA,19,11,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
30,Texas A&M ,1623,College,Men,Division I,COLLEGE STATION,TX,20,15,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
31,Air Force ,1618,College,Men,Division III,USAF Academy,CO,29,4,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
32,Dartmouth ,1610,College,Men,Division I,Hanover,NH,19,11,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
33,Maryland ,1600,College,Men,Division I,College Park,MD,21,13,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
34,Alabama ,1586,College,Men,Division I,Tuscaloosa,AL,23,11,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
35,Victoria ,1586,College,Men,Division I,Victoria,BC,20,17,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
36,Virginia Tech ,1581,College,Men,Division I,Blacksburg,VA,19,13,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
37,Illinois ,1578,College,Men,Division I,Champaign,IL,21,12,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
38,William & Mary ,1567,College,Men,Division I,Williamsburg,VA,25,11,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
39,UCLA ,1558,College,Men,Division I,Los Angeles,CA,18,13,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
40,Johns Hopkins ,1554,College,Men,Division I,Baltimore,MD,26,8,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
41,Carleton College-GoP ,1539,College,Men,Division III,Northfield,MN,24,8,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
42,LSU ,1539,College,Men,Division I,Baton Rouge,LA,14,10,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
43,Texas Tech ,1537,College,Men,Division I,Lubbock,TX,23,5,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
44,Vermont ,1530,College,Men,Division I,Burlington,VT,23,9,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
45,Stanford ,1519,College,Men,Division I,Stanford,CA,17,19,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
46,Virginia ,1517,College,Men,Division I,Charlottesville,VA,19,15,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
47,Florida State ,1504,College,Men,Division I,TALLAHASSEE,FL,21,17,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
48,California-San Diego ,1490,College,Men,Division I,San Diego,CA,18,13,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
49,Carnegie Mellon ,1488,College,Men,Division I,Pittsburgh,PA,17,14,RVcE0zV9FvTOb4CWUR5VP%2f3o14P3sRHXckTCnIbl1ck%3d,2019_college
