year,event,table,Date,Time,home_team,away_team,home_score,away_score
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/24,8:30 AM,Oregon (4),Florida (9),15,10
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/24,8:30 AM,Carleton College (16),Rutgers (20),15,14
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/24,10:30 AM,North Carolina-Wilmington (5),Rutgers (20),15,11
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/24,12:30 PM,North Carolina-Wilmington (5),Florida (9),14,13
2014,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/24,12:30 PM,Oregon (4),Carleton College (16),15,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,10:30 AM,Pittsburgh (1),Georgia (8),15,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,10:30 AM,Wisconsin (12),Texas (13),11,14
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,2:30 PM,Georgia (8),Texas (13),10,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,2:30 PM,Wisconsin (12),Auburn (17),15,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/22,4:30 PM,Pittsburgh (1),Auburn (17),15,4
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,8:30 AM,Pittsburgh (1),Wisconsin (12),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,8:30 AM,Georgia (8),Auburn (17),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,12:30 PM,Pittsburgh (1),Texas (13),12,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,12:30 PM,Georgia (8),Wisconsin (12),15,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/23,2:30 PM,Texas (13),Auburn (17),11,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,8:30 AM,Texas A&M (2),Cincinnati (18),14,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,8:30 AM,Central Florida (7),Western Washington (14),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,12:30 PM,Texas A&M (2),Central Florida (7),11,14
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,12:30 PM,Minnesota (11),Western Washington (14),14,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/22,4:30 PM,Minnesota (11),Cincinnati (18),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,10:30 AM,Texas A&M (2),Minnesota (11),13,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,10:30 AM,Central Florida (7),Cincinnati (18),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,12:30 PM,Western Washington (14),Cincinnati (18),14,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,2:30 PM,Central Florida (7),Minnesota (11),15,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/23,2:30 PM,Texas A&M (2),Western Washington (14),15,9
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,10:30 AM,Florida State (6),Oregon (15),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,10:30 AM,Maryland (10),Illinois (19),13,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,2:30 PM,North Carolina (3),Florida State (6),13,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,2:30 PM,Maryland (10),Oregon (15),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/22,4:30 PM,North Carolina (3),Illinois (19),15,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,8:30 AM,Oregon (15),Illinois (19),15,7
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,10:30 AM,North Carolina (3),Maryland (10),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,10:30 AM,Florida State (6),Illinois (19),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,2:30 PM,North Carolina (3),Oregon (15),5,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/23,2:30 PM,Florida State (6),Maryland (10),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,8:30 AM,Colorado (5),California-Santa Barbara (16),14,12
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,8:30 AM,Massachusetts (9),Cornell (20),15,7
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,12:30 PM,North Carolina-Wilmington (4),Cornell (20),14,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,12:30 PM,Massachusetts (9),California-Santa Barbara (16),15,7
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/22,4:30 PM,North Carolina-Wilmington (4),Colorado (5),13,14
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,8:30 AM,North Carolina-Wilmington (4),Massachusetts (9),9,15
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,8:30 AM,California-Santa Barbara (16),Cornell (20),15,10
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,10:30 AM,Colorado (5),Cornell (20),15,11
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,12:30 PM,North Carolina-Wilmington (4),California-Santa Barbara (16),14,13
2015,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/23,12:30 PM,Colorado (5),Massachusetts (9),12,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,10:30 AM,Massachusetts (1),Georgia (8),11,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,10:30 AM,Texas A&M (12),Washington (13),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,2:30 PM,Georgia (8),Washington (13),14,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,2:30 PM,Texas A&M (12),Cal Poly-SLO (17),11,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/27,4:30 PM,Massachusetts (1),Cal Poly-SLO (17),15,8
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,8:30 AM,Massachusetts (1),Texas A&M (12),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,8:30 AM,Georgia (8),Cal Poly-SLO (17),15,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,12:30 PM,Massachusetts (1),Washington (13),14,13
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,12:30 PM,Georgia (8),Texas A&M (12),2,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/28,2:30 PM,Washington (13),Cal Poly-SLO (17),15,14
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,8:30 AM,Oregon (2),Case Western Reserve (18),14,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,8:30 AM,North Carolina (7),Florida State (14),16,14
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,12:30 PM,Oregon (2),North Carolina (7),14,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,12:30 PM,Colorado (11),Florida State (14),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/27,4:30 PM,Colorado (11),Case Western Reserve (18),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,10:30 AM,Oregon (2),Colorado (11),9,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,10:30 AM,North Carolina (7),Case Western Reserve (18),16,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,12:30 PM,Florida State (14),Case Western Reserve (18),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,2:30 PM,North Carolina (7),Colorado (11),12,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,2:30 PM,Oregon (2),Florida State (14),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,10:30 AM,Wisconsin (6),Michigan (15),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,10:30 AM,Harvard (10),Connecticut (19),15,10
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,2:30 PM,North Carolina-Wilmington (3),Wisconsin (6),11,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,2:30 PM,Harvard (10),Michigan (15),13,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,4:30 PM,North Carolina-Wilmington (3),Connecticut (19),12,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,8:30 AM,Michigan (15),Connecticut (19),12,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,10:30 AM,North Carolina-Wilmington (3),Harvard (10),12,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,10:30 AM,Wisconsin (6),Connecticut (19),15,9
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,2:30 PM,North Carolina-Wilmington (3),Michigan (15),14,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,2:30 PM,Wisconsin (6),Harvard (10),15,6
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,8:30 AM,Pittsburgh (5),Auburn (16),13,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,8:30 AM,Carleton College (9),Utah (20),15,6
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,12:30 PM,Minnesota (4),Utah (20),15,8
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,12:30 PM,Carleton College (9),Auburn (16),16,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,4:30 PM,Minnesota (4),Pittsburgh (5),13,15
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,8:30 AM,Minnesota (4),Carleton College (9),15,11
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,8:30 AM,Auburn (16),Utah (20),15,12
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,10:30 AM,Pittsburgh (5),Utah (20),15,7
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,12:30 PM,Minnesota (4),Auburn (16),13,14
2016,USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,12:30 PM,Pittsburgh (5),Carleton College (9),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,10:30 AM,Massachusetts (1),Washington (8),14,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,10:30 AM,Stanford (12),Colorado State (13),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,2:30 PM,Washington (8),Colorado State (13),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,2:30 PM,Stanford (12),Cal Poly-SLO (17),12,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,4:30 PM,Massachusetts (1),Cal Poly-SLO (17),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,8:30 AM,Massachusetts (1),Stanford (12),14,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,8:30 AM,Washington (8),Cal Poly-SLO (17),14,16
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,12:30 PM,Massachusetts (1),Colorado State (13),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,12:30 PM,Washington (8),Stanford (12),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,2:30 PM,Colorado State (13),Cal Poly-SLO (17),11,15
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,8:30 AM,Pittsburgh (2),Connecticut (18),15,5
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,8:30 AM,Michigan (7),Texas A&M; (14),15,7
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,12:30 PM,Pittsburgh (2),Michigan (7),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,12:30 PM,North Carolina-Wilmington (11),Texas A&M; (14),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,4:30 PM,North Carolina-Wilmington (11),Connecticut (18),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,10:30 AM,Pittsburgh (2),North Carolina-Wilmington (11),13,15
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,10:30 AM,Michigan (7),Connecticut (18),14,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,12:30 PM,Texas A&M; (14),Connecticut (18),14,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,2:30 PM,Michigan (7),North Carolina-Wilmington (11),7,15
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,2:30 PM,Pittsburgh (2),Texas A&M; (14),13,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,10:30 AM,Carleton College (6),Auburn (15),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,10:30 AM,Colorado (10),Oregon State (19),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,2:30 PM,North Carolina (3),Carleton College (6),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,2:30 PM,Colorado (10),Auburn (15),13,14
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,4:30 PM,North Carolina (3),Oregon State (19),14,6
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,8:30 AM,Auburn (15),Oregon State (19),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,10:30 AM,North Carolina (3),Colorado (10),12,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,10:30 AM,Carleton College (6),Oregon State (19),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,2:30 PM,North Carolina (3),Auburn (15),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,2:30 PM,Carleton College (6),Colorado (10),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,8:30 AM,Oregon (5),British Columbia (16),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,8:30 AM,Wisconsin (9),Virginia Tech (20),15,10
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,12:30 PM,Minnesota (4),Virginia Tech (20),15,7
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,12:30 PM,Wisconsin (9),British Columbia (16),15,8
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,4:30 PM,Minnesota (4),Oregon (5),15,11
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,8:30 AM,Minnesota (4),Wisconsin (9),15,13
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,8:30 AM,British Columbia (16),Virginia Tech (20),15,12
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,10:30 AM,Oregon (5),Virginia Tech (20),15,6
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,12:30 PM,Minnesota (4),British Columbia (16),9,15
2017,2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,12:30 PM,Oregon (5),Wisconsin (9),14,16
