,event,type,winner_team,winner_score,loser_team,loser_score
0,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Massachusetts (8),15,6
1,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Massachusetts (8),Auburn (13),15,8
2,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Northwestern (17),15,8
3,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Stanford (12),12,10
4,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Massachusetts (8),Northwestern (17),15,12
5,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Carleton College (1),Auburn (13),15,6
6,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Massachusetts (8),Stanford (12),15,7
7,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),Connecticut (18),15,8
8,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Minnesota (7),William & Mary (14),15,8
9,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),Minnesota (7),15,4
10,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Texas (11),William & Mary (14),13,9
11,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Texas (11),Connecticut (18),15,11
12,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,North Carolina (2),Texas (11),15,8
13,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Minnesota (7),Connecticut (18),15,8
14,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Georgia (6),Maryland (15),14,13
15,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Wisconsin (10),Georgetown (19),12,8
16,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Oregon (3),Georgia (6),15,7
17,USA-Ultimate-D-I-College-Championships-2018/schedule/Men/CollegeMen/,pool,Wisconsin (10),Maryland (15),11,10
