,event,type,winner_team,winner_score,loser_team,loser_score
0,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (1),Harvard (8),15,11
1,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (12),California-San Diego (13),15,7
2,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Harvard (8),California-San Diego (13),15,14
3,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Wisconsin (12),Eastern Michigan (17),15,11
4,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (1),Eastern Michigan (17),15,9
5,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Colorado (1),Wisconsin (12),14,12
6,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Harvard (8),Eastern Michigan (17),15,12
7,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Harvard (8),Wisconsin (12),14,13
8,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,California-San Diego (13),Eastern Michigan (17),15,12
9,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Dartmouth (18),15,8
10,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Michigan (11),Central Florida (14),14,13
11,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Texas A&M (7),15,9
12,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Michigan (11),15,8
13,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Texas A&M (7),Dartmouth (18),15,12
14,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Central Florida (14),Dartmouth (18),15,11
15,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Pittsburgh (2),Central Florida (14),15,12
16,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (6),Tufts (15),15,14
17,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Florida State (10),Massachusetts (19),14,13
18,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Texas (3),Massachusetts (19),16,14
19,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Tufts (15),Massachusetts (19),14,13
20,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Texas (3),Florida State (10),15,10
21,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina (6),Massachusetts (19),15,6
22,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Texas (3),Tufts (15),15,11
23,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Florida (9),Rutgers (20),15,10
24,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),Rutgers (20),15,5
25,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),North Carolina-Wilmington (5),15,12
26,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),Florida (9),15,10
27,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Carleton College (16),Rutgers (20),15,14
28,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (5),Rutgers (20),15,11
29,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (5),Florida (9),14,13
30,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,Oregon (4),Carleton College (16),15,13
31,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Colorado (1),North Carolina (6),15,10
32,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Colorado (1),Oregon (4),15,8
33,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina (6),North Carolina-Wilmington (5),15,10
34,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,North Carolina-Wilmington (5),Pittsburgh (2),14,13
35,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Michigan (11),Tufts (15),15,12
36,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Texas (3),Central Florida (14),15,14
37,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,California-San Diego (13),Rutgers (20),15,8
38,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Florida (9),Eastern Michigan (17),15,7
39,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,Massachusetts (19),Texas A&M (7),15,5
40,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,15,16,Colorado (1),California-San Diego (13)
41,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,11,15,Texas A&M (7),Central Florida (14)
42,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,11,13,Michigan (11),Dartmouth (18)
43,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,12,15,Texas A&M (7),Michigan (11)
44,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,11,14,Florida State (10),Tufts (15)
45,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,12,14,Texas (3),North Carolina (6)
46,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,13,15,North Carolina (6),Florida State (10)
47,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,13,15,North Carolina-Wilmington (5),Carleton College (16)
48,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,pool,10,14,Florida (9),Carleton College (16)
49,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,10,13,Michigan (11),Colorado (1)
50,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,10,15,Texas (3),Oregon (4)
51,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,9,15,Wisconsin (12),North Carolina (6)
52,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,7,15,Carleton College (16),Wisconsin (12)
53,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,13,14,Harvard (8),North Carolina-Wilmington (5)
54,USA-Ultimate-D-I-College-Championships/schedule/Men/CollegeMen/,bracket,12,15,Dartmouth (18),Florida State (10)
