,event,type,winner_team,winner_score,loser_team,loser_score
28,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (4),California-Santa Barbara (16),14,13
29,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Oregon (15),Florida State (6),15,12
30,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,North Carolina (3),Central Florida (7),15,10
31,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Oregon (15),Texas (13),15,9
32,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Florida State (6),Massachusetts (9),12,10
33,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Florida State (6),Texas A&M (2),15,12
34,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Colorado (5),Georgia (8),14,9
35,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Pittsburgh (1),North Carolina-Wilmington (4),14,11
36,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,Wisconsin (12),Cornell (20),15,12
37,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,11,14,Wisconsin (12),Texas (13)
38,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,10,15,Georgia (8),Texas (13)
39,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,12,13,Pittsburgh (1),Texas (13)
40,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,11,15,Texas (13),Auburn (17)
41,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,11,14,Texas A&M (2),Central Florida (7)
42,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,13,15,Texas A&M (2),Minnesota (11)
43,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,13,15,Maryland (10),Illinois (19)
44,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,5,15,North Carolina (3),Oregon (15)
45,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,13,14,North Carolina-Wilmington (4),Colorado (5)
46,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,9,15,North Carolina-Wilmington (4),Massachusetts (9)
47,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,12,15,Colorado (5),Massachusetts (9)
48,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,6,15,Oregon (15),North Carolina (3)
49,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,9,15,Colorado (5),North Carolina (3)
50,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,9,15,Pittsburgh (1),Central Florida (7)
51,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,11,14,Minnesota (11),Oregon (15)
52,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,12,15,Cincinnati (18),Illinois (19)
53,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,11,14,California-Santa Barbara (16),Auburn (17)
54,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,bracket,10,15,Maryland (10),Western Washington (14)
