,event,type,winner_team,winner_score,loser_team,loser_score
0,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Georgia (8),15,13
1,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Wisconsin (12),Auburn (17),15,9
2,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Auburn (17),15,4
3,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Pittsburgh (1),Wisconsin (12),15,12
4,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Georgia (8),Auburn (17),15,12
5,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Georgia (8),Wisconsin (12),15,13
6,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas A&M (2),Cincinnati (18),14,12
7,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Western Washington (14),15,11
8,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Minnesota (11),Western Washington (14),14,11
9,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Minnesota (11),Cincinnati (18),15,12
10,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Cincinnati (18),15,11
11,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Western Washington (14),Cincinnati (18),14,13
12,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Central Florida (7),Minnesota (11),15,10
13,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Texas A&M (2),Western Washington (14),15,9
14,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Florida State (6),Oregon (15),15,12
15,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Florida State (6),13,10
16,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Maryland (10),Oregon (15),15,11
17,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Illinois (19),15,12
18,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Oregon (15),Illinois (19),15,7
19,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina (3),Maryland (10),15,11
20,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Florida State (6),Illinois (19),15,11
21,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Florida State (6),Maryland (10),15,11
22,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Colorado (5),California-Santa Barbara (16),14,12
23,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Massachusetts (9),Cornell (20),15,7
24,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,North Carolina-Wilmington (4),Cornell (20),14,10
25,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Massachusetts (9),California-Santa Barbara (16),15,7
26,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,California-Santa Barbara (16),Cornell (20),15,10
27,USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/,pool,Colorado (5),Cornell (20),15,11
