,event,type,winner_team,winner_score,loser_team,loser_score
30,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (4),Washington (9),15,10
31,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Northeastern (16),Rutgers (20),15,7
32,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Colorado (5),Rutgers (20),14,8
33,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Colorado (5),Washington (9),14,13
34,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,North Carolina (1),Cal Poly-SLO (4),15,10
35,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Colorado (5),Pittsburgh (3),15,13
36,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Colorado (5),Georgia (12),12,10
37,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Ohio State (8),Washington (9),14,9
38,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Minnesota (13),Rutgers (20),15,5
39,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Iowa State (18),Victoria (19),12,8
40,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Northeastern (16),California (17),10,9
41,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,Tufts (15),North Carolina State (7),15,11
42,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,8,10,Ohio State (8),Minnesota (13)
43,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,14,15,North Carolina State (7),Michigan (14)
44,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,13,14,North Carolina State (7),Texas (11)
45,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,9,14,Pittsburgh (3),Victoria (19)
46,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,10,13,Tufts (15),Victoria (19)
47,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,8,14,Cal Poly-SLO (4),Northeastern (16)
48,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,8,14,North Carolina (1),Brown (2)
49,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,10,15,Colorado (5),Brown (2)
50,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,8,15,Wisconsin (10),North Carolina (1)
51,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,10,15,Michigan (14),Cal Poly-SLO (4)
52,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,10,15,Ohio State (8),Brown (2)
53,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,11,13,Texas (11),Wisconsin (10)
54,D-I-College-Championships-2019/schedule/Men/CollegeMen/,bracket,12,13,Oregon (6),Michigan (14)
