,event,type,winner_team,winner_score,loser_team,loser_score
0,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),Ohio State (8),15,8
1,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Georgia (12),Minnesota (13),13,9
2,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Georgia (12),California (17),10,8
3,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),California (17),15,4
4,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),Georgia (12),15,6
5,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Ohio State (8),California (17),14,8
6,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina (1),Minnesota (13),15,9
7,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Ohio State (8),Georgia (12),14,8
8,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Minnesota (13),California (17),12,8
9,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),Iowa State (18),15,11
10,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),North Carolina State (7),15,8
11,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Texas (11),Michigan (14),15,7
12,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Texas (11),Iowa State (18),15,7
13,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),Texas (11),11,7
14,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,North Carolina State (7),Iowa State (18),15,13
15,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Michigan (14),Iowa State (18),15,14
16,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Brown (2),Michigan (14),15,7
17,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Oregon (6),Tufts (15),15,8
18,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Wisconsin (10),Victoria (19),15,6
19,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Pittsburgh (3),Oregon (6),14,12
20,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Wisconsin (10),Tufts (15),9,8
21,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Pittsburgh (3),Wisconsin (10),15,13
22,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Oregon (6),Victoria (19),15,10
23,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Pittsburgh (3),Tufts (15),12,5
24,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Oregon (6),Wisconsin (10),12,9
25,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Colorado (5),Northeastern (16),15,11
26,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Washington (9),Rutgers (20),15,10
27,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (4),Rutgers (20),15,4
28,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Washington (9),Northeastern (16),14,11
29,D-I-College-Championships-2019/schedule/Men/CollegeMen/,pool,Cal Poly-SLO (4),Colorado (5),13,10
