,event,game_id,game_time,home_team,away_team,home_score,away_score
0,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,game144247,4/23/2017 2:15 PM,North Carolina-Charlotte (5),Appalachian State (6),13,9
1,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,game144245,4/23/2017 12:30 PM,North Carolina-Charlotte (5),East Carolina (9),13,4
2,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,game144246,4/23/2017 12:30 PM,Appalachian State (6),Wake Forest (10),13,4
3,Carolina-D-I-College-Mens-CC 2017/schedule/Men/CollegeMen/,game144249,4/23/2017 2:15 PM,East Carolina (9),Wake Forest (10),13,7
